ACELERÔMETRO X (m/s²);ACELERÔMETRO Y (m/s²);ACELERÔMETRO Z (m/s²);GRAVIDADE X (m/s²);GRAVIDADE Y (m/s²);GRAVIDADE Z (m/s²);ACELERAÇÃO LINEAR X (m/s²);ACELERAÇÃO LINEAR Y (m/s²);ACELERAÇÃO LINEAR Z (m/s²);GIROSCÓPIO X (rad/s);GIROSCÓPIO Y (rad/s);GIROSCÓPIO Z (rad/s);LUZ (lux);PROXIMIDADE (m);NÍVEL DO SOM (dB);LOCALIZAÇÃO Latitude : ;LOCALIZAÇÃO Longitude : ;LOCALIZAÇÃO Altitude ( m);LOCALIZAÇÃO Altitude-google ( m);LOCALIZAÇÃO Velocidade ( Metros por segundo);LOCALIZAÇÃO Precisão ( m);LOCALIZAÇÃO ORIENTAÇÃO (°);Satélite dentro do Alcance;Tempo desde o início, em m/s ;YYYY-MO-DD HH-MI-SS_SSS
21.607;34.213;114.043;12.963;41.201;88.043;0.0064;19.449;26.466;-0.9566;-0.0759;0.0493;26007.1;5.0;60.607;-25.448.507;-4.923.304;922.89;NaN;0.94;3.790.092;21.1;14 / 18;703508;2023-06-30 10:48:07:854
11.519;46.775;86.836;0.2591;38.367;90.212;0.8943;0.8631;-0.2848;-0.3115;0.1708;-0.1338;26007.1;5.0;61.799;-25.448.507;-4.923.304;922.89;NaN;0.94;3.790.092;21.1;14 / 18;704009;2023-06-30 10:48:08:355
-0.8384;46.421;46.418;0.26;43.523;87.841;-0.8015;-11.048;-26.899;-0.9726;-0.6605;-0.0912;26007.1;5.0;67.003;-254.485;-49.233.032;922.9;NaN;1.11;3.790.092;35.9;14 / 18;704509;2023-06-30 10:48:08:855
0.3369;10.465;83.947;0.8186;18.546;95.948;-0.2178;-21.065;-0.0619;0.1832;0.2882;0.2603;26007.1;5.0;65.079;-254.485;-49.233.032;922.9;NaN;1.11;3.790.092;35.9;14 / 18;705009;2023-06-30 10:48:09:355
10.612;32.252;11.972;0.6137;15.401;96.655;0.075;0.8971;12.353;0.6716;-0.0967;0.1418;26007.1;5.0;59.203;-2.544.849;-49.233.025;922.95;NaN;1.52;3.790.092;28.0;14 / 18;705509;2023-06-30 10:48:09:855
0.4186;58.551;66.013;0.919;49.323;84.261;-0.7759;-0.0107;-11.563;0.1538;-0.4362;0.2995;22522.1;5.0;66.07;-2.544.849;-49.233.025;922.95;NaN;1.52;3.790.092;28.0;14 / 18;706009;2023-06-30 10:48:10:355
19.125;40.529;70.406;20.147;50.343;81.711;0.3111;-11.612;-0.9276;0.4581;0.2248;-0.4012;22522.1;5.0;64.909;-25.448.477;-49.233.025;923.7;NaN;1.24;3.790.092;20.0;14 / 18;706509;2023-06-30 10:48:10:855
0.2686;77.784;77.497;0.9719;5.676;79.378;-0.1413;1.21;-0.5758;0.1732;0.3079;-0.0461;22522.1;5.0;62.892;-25.448.477;-49.233.025;923.7;NaN;1.24;3.790.092;20.0;14 / 18;707008;2023-06-30 10:48:11:354
-0.3713;63.887;59.384;0.6239;57.526;79.176;-0.8146;-0.1652;-14.609;-0.3561;-0.3489;0.0158;22522.1;5.0;64.973;-25.448.467;-49.233.025;923.93;NaN;0.9;3.790.092;9.6;14 / 18;707509;2023-06-30 10:48:11:855
0.6797;38.974;76.194;10.949;48.467;84.547;10.573;-14.397;-0.7077;0.0547;-0.1276;-0.2574;22522.1;5.0;64.098;-25.448.467;-49.233.025;923.93;NaN;0.9;3.790.092;9.6;14 / 18;708009;2023-06-30 10:48:12:355
-0.0979;71.918;8.48;0.164;53.138;82.406;0.0739;0.8657;0.2724;0.2859;0.1252;0.1112;22522.1;5.0;62.796;-25.448.462;-4.923.302;924.47;NaN;0.95;3.790.092;13.3;15 / 18;708509;2023-06-30 10:48:12:855
-0.1419;56.129;69.613;-0.0125;54.311;81.654;-0.4369;-0.4868;-0.86;0.196;-0.1822;0.0776;22522.1;5.0;43.985;-25.448.462;-4.923.302;924.47;NaN;0.95;3.790.092;13.3;15 / 18;709009;2023-06-30 10:48:13:355
11.166;48.131;92.792;10.426;57.906;78.455;-0.2508;17.102;13.862;-0.288;-0.1217;0.0659;22522.1;5.0;67.964;-25.448.456;-4.923.302;925.17;NaN;0.91;3.790.092;20.3;14 / 18;709509;2023-06-30 10:48:13:855
12.265;73.775;59.567;0.7174;64.858;73.205;0.5394;0.418;-13.687;-0.1491;0.3063;-0.0358;22522.1;5.0;68.749;-25.448.456;-4.923.302;925.17;NaN;0.91;3.790.092;20.3;14 / 18;710009;2023-06-30 10:48:14:355
-16.768;45.679;68.744;-0.3438;59.538;77.849;-14.706;-16.657;-0.6335;-0.1354;0.1376;0.3248;22522.1;5.0;63.492;-2.544.845;-49.233.017;924.61;NaN;0.87;3.790.092;31.3;15 / 18;710509;2023-06-30 10:48:14:855
-0.5093;69.837;85.713;0.2563;53.516;82.137;-0.9155;13.734;-0.41;-0.3882;-0.5831;0.137;22522.1;5.0;65.51;-2.544.845;-49.233.017;924.61;NaN;0.87;3.790.092;31.3;15 / 18;711010;2023-06-30 10:48:15:356
0.1045;56.021;68.472;0.1545;53.694;82.046;0.3235;-0.375;-23.695;-0.314;-0.1076;-0.3032;22522.1;5.0;67.592;-25.448.444;-49.233.013;923.99;NaN;0.84;3.790.092;41.0;15 / 18;711508;2023-06-30 10:48:15:854
-0.4938;40.963;71.607;-0.804;50.979;83.388;-12.506;-18.157;-23.869;0.0067;0.6846;-0.2096;19482.5;5.0;65.406;-25.448.444;-49.233.013;923.99;NaN;0.84;3.790.092;41.0;15 / 18;712009;2023-06-30 10:48:16:355
0.5686;65.669;86.387;10.515;50.449;83.435;-0.5924;0.9888;0.2209;0.326;-0.0284;0.279;19482.5;5.0;66.032;-2.544.844;-4.923.301;924.45;NaN;0.82;3.790.092;40.6;15 / 18;712509;2023-06-30 10:48:16:855
10.693;58.767;7.232;0.8034;53.476;81.809;0.225;0.1562;-10.112;-0.0514;0.2072;-0.2907;17015.1;5.0;50.875;-2.544.844;-4.923.301;924.45;NaN;0.82;3.790.092;40.6;15 / 18;713009;2023-06-30 10:48:17:355
-0.8767;43.436;6.331;-0.0955;57.523;79.418;-0.4653;-19.147;0.5785;0.0439;-0.0027;0.017;17015.1;5.0;60.285;-25.448.437;-49.233.006;923.91;NaN;0.69;3.790.092;33.5;15 / 18;713509;2023-06-30 10:48:17:855
0.4288;5.909;91.762;-0.0876;45.359;86.941;-0.514;15.339;-12.756;-0.6386;-0.0968;0.3089;17015.1;5.0;58.432;-25.448.437;-49.233.006;923.91;NaN;0.69;3.790.092;33.5;15 / 18;714009;2023-06-30 10:48:18:355
-0.7297;26.689;88.049;0.3082;28.156;93.887;-11.284;-0.7915;-0.8669;0.0132;0.086;0.9159;17015.1;5.0;44.864;-25.448.427;-49.233;924.13;NaN;0.75;3.790.092;21.0;15 / 18;714508;2023-06-30 10:48:18:854
-0.827;1.837;74.502;0.297;20.282;9.59;-0.2169;0.5411;-22.127;-0.5511;0.4209;0.3969;19736.3;5.0;60.357;-25.448.427;-49.233;924.13;NaN;0.75;3.790.092;21.0;15 / 18;715009;2023-06-30 10:48:19:355
14.011;-40.322;121.906;-0.5809;-0.4333;97.798;0.5089;-0.0174;29.661;-0.2915;0.0827;-0.2927;22328.3;5.0;65.849;-25.448.423;-49.233;923.8;NaN;0.81;3.790.092;19.2;15 / 18;715509;2023-06-30 10:48:19:855
-17.223;11.837;108.937;-0.6543;-0.0084;97.848;-14.372;15.072;-0.0446;-0.4099;0.1142;-0.8437;22328.3;5.0;63.848;-25.448.423;-49.233;923.8;NaN;0.81;3.790.092;19.2;15 / 18;716009;2023-06-30 10:48:20:355
-0.5537;0.6591;93.505;-0.7174;13.259;96.901;-11.424;-15.423;-0.7385;0.5501;-0.1675;0.0839;22328.3;5.0;59.873;-25.448.416;-49.232.998;924.83;NaN;0.86;3.790.092;23.5;14 / 18;716509;2023-06-30 10:48:20:855
-53.081;59.674;87.959;0.2569;39.015;89.935;-32.346;0.9431;-0.8366;0.4815;-0.7444;-10.334;19424.6;5.0;62.058;-25.448.416;-49.232.998;924.83;NaN;0.86;3.790.092;23.5;14 / 18;717009;2023-06-30 10:48:21:355
0.9651;0.4902;100.233;-0.4203;0.3374;97.918;22.962;0.6516;0.4024;-0.8494;0.5188;10.794;24227.8;5.0;55.849;-25.448.408;-4.923.299;924.26;NaN;0.93;3.790.092;22.0;14 / 18;717508;2023-06-30 10:48:21:854
-27.054;-23.305;83.575;-0.8866;-12.171;96.904;-17.338;-0.8378;14.965;0.5654;0.2686;0.2047;24227.8;5.0;56.347;-25.448.408;-4.923.299;924.26;NaN;0.93;3.790.092;22.0;14 / 18;718008;2023-06-30 10:48:22:354
0.4632;-10.591;113.612;10.386;0.4889;97.392;-0.5067;-17.383;12.431;0.2147;0.1498;0.3963;24227.8;5.0;55.743;-254.484;-4.923.299;924.62;NaN;0.86;3.790.092;20.6;15 / 18;718509;2023-06-30 10:48:22:855
1.098;30.593;88.336;-0.1336;26.205;94.491;11.363;-0.1375;-0.1126;0.1832;0.4669;0.7511;24227.8;5.0;66.571;-254.484;-4.923.299;924.62;NaN;0.86;3.790.092;20.6;15 / 18;719009;2023-06-30 10:48:23:355
-0.4261;51.997;76.242;0.0323;49.924;84.407;-14.684;-0.6453;0.7383;0.474;-0.4324;0.0158;24227.8;5.0;63.819;-25.448.393;-4.923.299;924.44;NaN;0.71;3.790.092;12.0;15 / 18;719508;2023-06-30 10:48:23:854
0.4342;46.871;68.421;11.144;56.381;79.461;0.3628;-0.6151;0.0709;-0.1382;-0.028;-0.0254;20134.9;5.0;57.261;-25.448.393;-4.923.299;924.44;NaN;0.71;3.790.092;12.0;15 / 18;720009;2023-06-30 10:48:24:355
0.4069;58.477;76.631;0.3449;54.629;81.368;0.8026;0.4157;-0.5247;0.0027;0.3669;0.1025;20134.9;5.0;65.681;-25.448.387;-4.923.299;923.83;NaN;0.46;3.790.092;12.0;15 / 18;720510;2023-06-30 10:48:24:856
-0.9495;41.316;76.661;0.3155;55.359;80.885;-10.485;-0.4897;0.2059;0.0678;0.1771;0.1485;20134.9;5.0;69.177;-25.448.387;-4.923.299;923.83;NaN;0.46;3.790.092;12.0;15 / 18;721009;2023-06-30 10:48:25:355
0.5366;44.433;79.811;-0.2118;47.146;85.964;0.8605;0.4807;-0.6151;-0.6671;-0.087;-0.0441;22898.4;5.0;65.443;-2.544.838;-4.923.299;923.81;NaN;0.55;3.790.092;11.7;15 / 18;721509;2023-06-30 10:48:25:855
0.6105;47.622;91.573;0.4016;39.694;89.584;-0.4997;11.502;-0.2023;-0.0461;-0.0473;-0.524;22898.4;5.0;67.308;-2.544.838;-4.923.299;923.81;NaN;0.55;3.790.092;11.7;15 / 18;722009;2023-06-30 10:48:26:355
11.825;33.737;103.398;0.8054;30.936;9.271;-0.7808;2.148;1.425;0.3722;-0.2147;0.4477;22898.4;5.0;46.835;-2.544.838;-4.923.299;923.81;NaN;0.55;3.790.092;11.7;15 / 18;722509;2023-06-30 10:48:26:855
-0.5189;37.795;81.901;0.0711;34.264;91.883;0.2619;-3.0E-4;-14.281;-0.0505;-0.108;-0.641;22898.4;5.0;43.842;-2.544.838;-4.923.299;923.81;NaN;0.55;3.790.092;11.7;15 / 18;723009;2023-06-30 10:48:27:355
0.3479;0.4477;90.169;-0.3797;20.359;95.855;-0.0822;-15.959;-20.755;-0.6566;-0.2337;0.8916;25837.8;5.0;59.737;-25.448.372;-49.232.986;923.62;NaN;0.9;3.790.092;9.5;15 / 18;723509;2023-06-30 10:48:27:855
13.103;-0.8504;99.176;0.5063;14.918;96.793;1.297;-1.991;15.884;-0.0162;0.2578;-0.6864;25837.8;5.0;56.376;-25.448.372;-49.232.986;923.62;NaN;0.9;3.790.092;9.5;15 / 18;724009;2023-06-30 10:48:28:355
-16.361;3.365;112.195;-0.5188;20.845;95.685;-0.3505;10.958;-0.1014;-0.0921;0.0688;-0.1791;25837.8;5.0;42.032;-25.448.362;-49.232.986;923.4;NaN;1.06;3.790.092;6.1;15 / 18;724509;2023-06-30 10:48:28:855
0.0811;-0.297;95.589;-0.7517;-0.2592;97.744;-0.2368;-0.4356;-16.868;-0.5685;-0.9325;0.0726;25837.8;5.0;64.444;-25.448.362;-49.232.986;923.4;NaN;1.06;3.790.092;6.1;15 / 18;725009;2023-06-30 10:48:29:355
-0.1324;37.253;89.399;0.9629;45.476;8.635;-0.5766;-1.253;-0.2093;0.8212;0.0495;-0.4999;22107.9;5.0;68.055;-25.448.353;-49.232.986;923.69;NaN;1.17;3.790.092;8.0;15 / 18;725509;2023-06-30 10:48:29:855
0.5111;71.023;88.516;0.7635;60.202;77.036;0.1017;0.5856;-0.3136;0.5872;0.306;0.6955;19195.2;5.0;67.033;-25.448.353;-49.232.986;923.69;NaN;1.17;3.790.092;8.0;15 / 18;726009;2023-06-30 10:48:30:355
18.092;62.282;90.091;11.169;46.631;85.544;-0.2894;1.449;-0.4259;0.0863;-0.8373;-0.698;19195.2;5.0;64.744;-2.544.834;-49.232.983;923.14;NaN;0.94;3.790.092;14.0;15 / 18;726509;2023-06-30 10:48:30:855
-0.3803;49.314;69.424;15.165;48.594;83.819;-11.409;-11.971;0.0447;0.0099;0.3925;-0.1599;21994.3;5.0;65.75;-2.544.834;-49.232.983;923.14;NaN;0.94;3.790.092;14.0;15 / 18;727009;2023-06-30 10:48:31:355
0.3111;37.591;107.452;0.4886;41.555;88.692;19.754;0.4531;24.816;0.2137;0.4333;-0.2154;21994.3;5.0;65.849;-25.448.336;-4.923.298;923.45;NaN;0.62;3.790.092;26.6;15 / 18;727509;2023-06-30 10:48:31:855
0.8139;43.765;88.965;-0.0053;40.982;89.093;-0.5193;0.523;-0.5387;-0.2806;-0.5131;-0.2879;21994.3;5.0;63.758;-25.448.336;-4.923.298;923.45;NaN;0.62;3.790.092;26.6;15 / 18;728009;2023-06-30 10:48:32:355
0.4456;37.876;74.242;0.5964;47.953;85.334;-0.1347;-16.299;0.1882;0.1558;-0.045;-0.0081;21994.3;5.0;52.431;-2.544.833;-49.232.975;923.5;NaN;0.66;3.790.092;30.9;15 / 18;728509;2023-06-30 10:48:32:855
0.9208;3.813;92.777;0.4108;39.085;89.847;0.819;-0.0707;0.734;0.1549;0.2698;0.5025;21994.3;5.0;40.59;-2.544.833;-49.232.975;923.5;NaN;0.66;3.790.092;30.9;15 / 18;729009;2023-06-30 10:48:33:355
-12.675;44.861;86.839;-0.1308;4.221;88.508;-0.3976;0.1884;-0.7129;-0.2264;-0.1824;-0.2101;21994.3;5.0;65.391;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;729509;2023-06-30 10:48:33:855
-0.9678;44.104;95.092;-0.0538;3.281;92.413;-0.5942;0.0123;0.7135;0.1702;0.0285;0.0535;21994.3;5.0;65.272;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;730009;2023-06-30 10:48:34:355
0.1701;33.998;102.694;-0.092;3.7;90.814;0.2021;0.3878;-0.1534;-0.2135;-0.0277;0.2037;21994.3;5.0;41.566;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;730509;2023-06-30 10:48:34:855
-3.0E-4;29.198;98.918;0.0522;2.612;94.523;-0.1232;0.1311;0.7211;-0.1353;0.0162;-0.0108;21994.3;5.0;57.567;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;731009;2023-06-30 10:48:35:355
0.6055;35.756;89.639;0.3743;31.002;92.962;0.0709;0.1144;0.021;0.1188;-0.1329;-0.1648;21994.3;5.0;65.449;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;731509;2023-06-30 10:48:35:855
0.3614;37.977;88.636;0.3795;35.251;91.433;-0.2546;0.1331;-0.0755;0.0292;-0.0455;-0.1201;21994.3;5.0;67.461;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;732009;2023-06-30 10:48:36:355
0.0916;37.492;90.067;0.3302;37.195;90.679;-0.2241;0.1226;-0.1373;0.0115;-0.0489;-0.1708;21994.3;5.0;66.914;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;732509;2023-06-30 10:48:36:855
0.0524;37.591;90.552;0.1503;37.444;90.624;-0.2879;-0.0207;-0.0906;-0.0181;-0.0579;0.0925;21994.3;5.0;62.781;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;733008;2023-06-30 10:48:37:354
0.5959;41.568;86.875;0.4828;39.703;8.954;0.1059;-0.038;-0.2634;-0.0445;-0.0059;-0.0305;21994.3;5.0;45.783;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;733509;2023-06-30 10:48:37:855
0.8151;42.304;90.232;0.5046;40.812;89.028;0.1814;0.2846;-0.3436;-0.0193;0.0322;-0.0398;21994.3;5.0;65.235;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;734009;2023-06-30 10:48:38:355
0.8375;51.608;82.234;0.3895;44.399;87.353;-0.1102;-0.2244;0.0847;0.5187;-0.2173;-0.1802;21994.3;5.0;62.909;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;734509;2023-06-30 10:48:38:855
0.3587;59.207;79.051;0.5163;57.521;79.258;-0.2261;0.1748;0.0778;0.0049;0.2509;0.0811;21994.3;5.0;68.257;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;735009;2023-06-30 10:48:39:355
0.2443;57.042;80.258;0.3764;57.145;79.607;-0.0376;0.1549;-0.1431;-0.1135;-0.061;0.0019;21994.3;5.0;63.925;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;735509;2023-06-30 10:48:39:855
0.8941;56.381;79.293;0.8135;56.181;79.966;0.2404;0.1446;-0.1048;0.0296;-0.1244;-0.0587;21994.3;5.0;64.139;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;736009;2023-06-30 10:48:40:355
1.248;55.488;84.291;10.891;5.481;80.587;0.0324;0.0306;0.3918;-0.1318;-0.0752;0.0443;19099.5;5.0;66.574;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;736508;2023-06-30 10:48:40:854
10.861;53.946;80.126;10.955;55.034;80.426;0.1926;0.0224;0.1019;0.0782;-0.0269;-0.031;19099.5;5.0;46.821;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;737009;2023-06-30 10:48:41:355
10.301;56.099;7.885;10.573;54.875;80.585;-0.13;0.0388;-0.1644;0.0413;-0.0585;0.0043;19099.5;5.0;63.169;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;737509;2023-06-30 10:48:41:855
11.166;55.213;79.048;11.187;54.956;80.447;0.0158;-0.0363;0.0953;0.0361;0.0264;0.0244;19099.5;5.0;65.502;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;738011;2023-06-30 10:48:42:357
0.9217;54.683;79.024;10.841;54.414;80.862;-0.1017;-0.0628;0.0911;-0.0055;-0.0111;0.0169;19099.5;5.0;63.021;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;738509;2023-06-30 10:48:42:855
10.094;54.695;8.029;0.9325;53.256;81.816;0.0038;0.0824;-0.1661;-0.0237;-0.0463;-0.0427;19099.5;5.0;41.962;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;739009;2023-06-30 10:48:43:355
0.9121;55.057;78.314;0.9094;54.138;81.261;-0.1729;-0.0905;-0.1146;-0.0152;-0.0228;0.0253;19099.5;5.0;52.123;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;13 / 18;739509;2023-06-30 10:48:43:855
10.043;54.665;80.225;0.9607;53.817;81.415;0.0313;0.0387;0.0067;0.0104;-0.067;-0.0426;19099.5;5.0;59.212;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;13 / 18;740009;2023-06-30 10:48:44:355
10.322;53.713;81.446;11.247;54.875;80.494;-0.0505;-0.0487;0.2946;-0.0742;-0.0446;-0.0567;19099.5;5.0;41.886;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;740509;2023-06-30 10:48:44:855
12.936;56.731;78.718;12.236;5.625;79.393;-0.0231;0.044;0.035;9.0E-4;-0.0138;-0.0065;19099.5;5.0;58.231;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;741009;2023-06-30 10:48:45:355
11.732;5.574;80.183;12.291;55.695;79.775;-0.0527;-0.0137;0.1699;-0.0149;0.012;-0.0013;19099.5;5.0;60.745;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;741509;2023-06-30 10:48:45:855
1.107;56.276;78.117;12.036;55.494;79.954;0.0425;0.0083;0.0175;-0.0281;0.0069;-0.0127;19099.5;5.0;57.829;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;742009;2023-06-30 10:48:46:355
12.151;55.303;83.069;11.919;55.462;79.994;0.0505;0.0636;-0.0347;0.0493;0.0258;-0.0209;19099.5;5.0;50.257;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;742509;2023-06-30 10:48:46:855
10.205;57.183;78.886;10.301;5.66;79.419;0.0074;0.0655;-0.1009;-0.0269;0.0125;0.002;19099.5;5.0;56.513;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;743009;2023-06-30 10:48:47:355
12.448;57.497;79.338;10.843;57.158;78.945;0.1691;0.1152;0.018;0.0453;-0.0045;-4.0E-4;19099.5;5.0;40.808;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;743509;2023-06-30 10:48:47:855
1.148;58.566;79.497;12.032;5.84;77.857;0.0296;0.0644;-0.0368;-0.0292;0.0108;0.0024;19099.5;5.0;39.435;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;744009;2023-06-30 10:48:48:355
11.498;58.033;76.946;11.738;58.557;77.784;-0.0659;0.087;-0.0705;0.0107;-0.0127;0.0061;19099.5;5.0;63.508;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;744508;2023-06-30 10:48:48:854
13.585;57.953;78.245;12.153;57.037;78.842;0.0054;-0.1049;0.2475;0.041;-0.0368;-0.0132;19099.5;5.0;60.535;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;745009;2023-06-30 10:48:49:355
0.9962;54.931;81.485;11.371;56.196;7.956;-0.2774;-0.2484;0.3581;0.0893;-0.0402;0.0659;19099.5;5.0;54.209;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;745509;2023-06-30 10:48:49:855
11.043;58.036;76.817;12.993;56.882;7.882;0.003;0.0178;0.0485;-8.0E-4;-0.0169;-0.0192;19099.5;5.0;54.037;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;15 / 18;746009;2023-06-30 10:48:50:355
13.022;57.869;77.036;12.848;56.927;78.812;-0.0398;-0.0068;-0.0683;0.0027;-0.0391;0.0316;19099.5;5.0;47.781;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;746509;2023-06-30 10:48:50:855
1.225;58.501;76.407;13.303;55.285;79.898;-0.0218;-0.2652;0.4253;0.0519;-0.023;-0.0105;19099.5;5.0;40.024;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;747009;2023-06-30 10:48:51:355
1.407;56.174;78.685;13.404;55.782;79.535;-0.0176;0.0701;0.0794;0.0341;-0.0306;0.0132;19099.5;5.0;57.976;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;747509;2023-06-30 10:48:51:855
13.154;57.006;79.641;14.162;56.741;7.872;-0.1841;0.0288;-0.3256;-0.0487;-0.0234;0.0212;19099.5;5.0;43.681;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;748009;2023-06-30 10:48:52:355
12.837;54.949;79.353;14.235;55.625;7.95;-0.0284;0.0561;-0.1018;0.0099;-0.0029;-1.0E-4;19099.5;5.0;62.402;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;748509;2023-06-30 10:48:52:855
16.894;58.186;74.999;14.183;55.457;79.626;0.1468;0.1347;-0.242;-0.041;-0.0253;-0.0518;19099.5;5.0;64.019;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;749009;2023-06-30 10:48:53:355
14.232;56.081;79.299;13.061;55.333;79.904;0.1072;0.0927;-0.1601;-0.0357;-0.0138;-0.0222;19099.5;5.0;63.913;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;749509;2023-06-30 10:48:53:855
12.669;55.719;79.215;12.634;56.004;79.504;0.0546;0.1207;-0.0643;-0.0019;-0.0354;-0.0768;19099.5;5.0;66.337;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;750009;2023-06-30 10:48:54:355
14.163;57.198;79.766;12.765;55.992;79.492;0.2122;0.0791;-0.0067;-7.0E-4;0.0;-0.0522;19099.5;5.0;64.463;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;750510;2023-06-30 10:48:54:856
0.8136;56.923;79.527;12.022;56.787;79.043;-0.2382;0.1348;-0.0458;0.0137;-0.0415;-0.0704;19099.5;5.0;60.95;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;751009;2023-06-30 10:48:55:355
0.9576;56.851;78.718;10.191;57.179;79.018;-0.1872;0.0349;-0.0054;0.0127;0.0048;0.0523;19099.5;5.0;48.3;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;751509;2023-06-30 10:48:55:855
10.564;56.075;80.437;1.141;56.326;79.462;0.0543;0.0373;0.2011;0.0302;-0.0329;0.0024;19099.5;5.0;60.238;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;752009;2023-06-30 10:48:56:355
13.585;52.937;82.024;13.913;54.736;80.171;-0.0192;-0.2184;0.1465;-0.1346;-0.0561;-0.0435;19099.5;5.0;63.327;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;752509;2023-06-30 10:48:56:855
13.678;5.541;78.985;15.518;55.405;79.413;0.0451;0.2129;-0.1313;0.068;-0.0718;0.0063;19099.5;5.0;65.516;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;753009;2023-06-30 10:48:57:355
1.022;56.105;78.386;13.811;56.743;78.781;-0.17;0.0686;-0.0368;0.0269;0.0333;-0.0284;19099.5;5.0;65.777;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;753508;2023-06-30 10:48:57:854
13.711;5.874;77.503;12.811;57.484;78.413;-0.067;0.0928;-0.1479;-0.0185;-0.0774;-0.0977;19099.5;5.0;58.176;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;754009;2023-06-30 10:48:58:355
13.073;56.842;75.868;12.384;56.066;7.95;-0.0337;-0.0381;0.1253;0.0409;-0.0188;0.1012;19099.5;5.0;62.185;-25.448.324;-49.232.975;923.85;NaN;0.68;3.790.092;22.5;14 / 18;754509;2023-06-30 10:48:58:855
